Confirm_Count,ID
1,1295
1,1296
1,1297
1,1298
1,1299
2,1300
2,1301
2,1302
2,1303
3,1304
15,1305
15,1306
49,1307
55,1308
59,1309
60,1310
67,1311
80,1312
109,1313
110,1314
150,1315
196,1316
196,1317
256,1318
285,1319
294,1320
0,1321
0,1322
0,1323
0,1324
0,1325
0,1326
0,1327
0,1328
0,1329
0,1330
0,1331
0,1332
0,1333
0,1334
0,1335
0,1336
0,1337
0,1338
0,1339
0,1340
0,1341
0,1342
0,1343
0,1344
0,1345
0,1346
0,1347
0,1348
0,1349
0,1350
4,1351
7,1352
7,1353
7,1354
7,1355
7,1356
8,1357
8,1358
0,1359
0,1360
0,1361
0,1362
0,1363
0,1364
0,1365
0,1366
0,1367
0,1368
0,1369
0,1370
0,1371
0,1372
0,1373
0,1374
0,1375
0,1376
0,1377
0,1378
0,1379
0,1380
0,1381
0,1382
0,1383
0,1384
0,1385
0,1386
0,1387
0,1388
0,1389
0,1390
0,1391
0,1392
0,1393
0,1394
0,1395
0,1396
0,1397
0,1398
0,1399
0,1400
0,1401
0,1402
0,1403
0,1404
0,1405
0,1406
0,1407
0,1408
0,1409
0,1410
1,1411
1,1412
1,1413
1,1414
1,1415
2,1416
2,1417
2,1418
4,1419
10,1420
13,1421
13,1422
13,1423
16,1424
22,1425
22,1426
32,1427
32,1428
41,1429
61,1430
61,1431
77,1432
93,1433
110,1434
99,1435
120,1436
133,1437
157,1438
163,1439
187,1440
0,1441
0,1442
0,1443
0,1444
0,1445
0,1446
0,1447
0,1448
0,1449
0,1450
0,1451
0,1452
0,1453
0,1454
0,1455
0,1456
0,1457
0,1458
0,1459
0,1460
0,1461
0,1462
0,1463
0,1464
0,1465
0,1466
0,1467
0,1468
0,1469
0,1470
0,1471
0,1472
0,1473
1,1474
1,1475
5,1476
7,1477
7,1478
13,1479
19,1480
26,1481
32,1482
35,1483
35,1484
40,1485
54,1486
60,1487
60,1488
71,1489
71,1490
71,1491
101,1492
110,1493
116,1494
124,1495
154,1496
164,1497
192,1498
208,1499
214,1500
0,1501
0,1502
0,1503
0,1504
0,1505
0,1506
0,1507
0,1508
0,1509
0,1510
0,1511
0,1512
0,1513
0,1514
0,1515
0,1516
0,1517
0,1518
0,1519
0,1520
0,1521
0,1522
0,1523
0,1524
0,1525
0,1526
0,1527
0,1528
0,1529
0,1530
0,1531
0,1532
0,1533
2,1534
2,1535
4,1536
4,1537
4,1538
6,1539
6,1540
6,1541
12,1542
15,1543
16,1544
16,1545
16,1546
16,1547
16,1548
18,1549
18,1550
18,1551
19,1552
19,1553
22,1554
22,1555
24,1556
39,1557
48,1558
48,1559
52,1560
0,1561
0,1562
0,1563
0,1564
0,1565
0,1566
0,1567
0,1568
0,1569
0,1570
0,1571
0,1572
0,1573
0,1574
0,1575
0,1576
0,1577
0,1578
0,1579
0,1580
0,1581
0,1582
0,1583
0,1584
0,1585
0,1586
0,1587
0,1588
0,1589
0,1590
0,1591
0,1592
0,1593
1,1594
1,1595
1,1596
1,1597
1,1598
1,1599
1,1600
1,1601
1,1602
1,1603
1,1604
1,1605
1,1606
4,1607
4,1608
5,1609
7,1610
7,1611
7,1612
11,1613
16,1614
21,1615
22,1616
22,1617
22,1618
24,1619
24,1620
0,1621
0,1622
0,1623
0,1624
0,1625
0,1626
0,1627
0,1628
0,1629
0,1630
0,1631
0,1632
0,1633
0,1634
0,1635
0,1636
0,1637
0,1638
0,1639
0,1640
0,1641
0,1642
0,1643
0,1644
0,1645
0,1646
0,1647
0,1648
0,1649
0,1650
0,1651
0,1652
0,1653
1,1654
23,1655
33,1656
33,1657
36,1658
41,1659
47,1660
49,1661
49,1662
52,1663
